day,susceptible,infected,recovered
63,862567.1231851915,782626.2649325058,3454907.6118823024
64,838413.1668192352,750878.3452318546,3510809.48794891
65,815887.9682811138,719769.3762534149,3564443.655465471
66,794876.0912056019,689369.1550251114,3615855.7537692864
67,775269.9448849468,659734.6474154015,3665096.4076996516
68,756969.434659017,630911.2542545169,3712220.311086466
69,739881.5786469751,602934.0206769505,3757285.4006760744
70,723920.1058544762,575828.77770681,3800352.116438714
71,709005.0473272408,549613.2092549875,3841482.7434177715
72,695062.329233405,524297.8409734672,3880740.8297931277
73,682023.3744751996,499886.9499478535,3918190.6755769467
74,669824.7175863809,476379.39612611127,3953896.8862875076
75,658407.6361997116,453769.3777894869,3987923.986010801
76,647717.8012084346,432047.1143672291,4020336.084424336
77,637704.9468433815,411199.4605631944,4051196.5925934236
78,628322.5611963168,391210.45617003104,4080567.9826336526
79,619527.5972002286,372061.8161539741,4108511.586645797
80,611280.2036946858,353733.3656485187,4135087.430656795
81,603543.4759308391,336203.42443747143,4160354.09963169
82,596283.2246828502,319449.14536849794,4184368.6299486514
83,589467.7630114262,303446.810942172,4207186.426046401
84,583067.7096552661,288172.09208817716,4228861.198256557
85,577055.8079951934,273600.2728848087,4249444.919119998
86,571406.7595336346,259706.4447117383,4268987.795754627
87,566097.0708510807,246465.67305773954,4287538.25609118
88,561104.9130350949,233853.13994102966,4305142.947023876
89,556409.9926215207,221844.26464453014,4321846.742733949
90,551993.433138115,210414.80522475505,4337692.76163713
91,547837.6663950864,199540.94302315824,4352722.390581755
92,543926.3327228505,189199.35219374014,4366975.31508341
93,540244.1894131611,179367.25606101946,4380489.55452582
94,536777.0266745294,170022.4719381496,4393301.50138732
95,533511.5904656923,161143.4458656904,4405445.963668617
96,530435.5116213297,152709.2785767894,4416956.209801881
97,527537.240731912,144699.74385357945,4427864.015414509
98,524805.988284297,137095.30031165289,4438199.71140405
99,522231.66961143946,129877.09753367814,4447992.232854882
100,519804.8542383045,123026.97736869323,4457269.168393002
101,517516.7192468969,116527.47111947987,4466056.809633623
102,515359.0063162978,110361.79325583056,4474380.200427872
103,513323.9821239115,104513.83221565755,4482263.185660431
104,511404.4018219009,98968.13878797827,4489728.459390121
105,509593.47532819246,93709.91251111699,4496797.612160691
106,507884.83619463374,88724.98646531008,4503491.177340056
107,506272.51283604745,83999.81079065995,4509828.676373293
108,504750.90192319057,79521.43521846968,4515828.66285834
109,503314.7437601779,75277.49086587732,4521508.765373945
110,501959.09948287404,71256.17150990428,4526885.729007222
111,500679.3299292601,67446.21452709651,4531975.455543644
112,499471.07604595565,63836.881658465456,4536793.042295579
113,498330.24070703896,60417.93973606318,4541352.8195568975
114,497252.97183217446,57179.641486923145,4545668.386680902
115,496235.6467009225,54112.70651196628,4549752.646787111
116,495274.8573690626,51208.302521542995,4553617.840109395
117,494367.3971008951,48458.02689531455,4557275.576003791
118,493510.2477388755,45853.88862195456,4560736.86363917
119,492700.5679386407,43388.2906634783,4564012.141397881
120,491935.6822035882,41054.01277971093,4567111.305016701
